Proceso,Agno,COMA
Biomasa_VII,2027,124.28850830639112
Biomasa_VIII,2027,124.28850830639112
Biomasa_X-XIV,2027,124.28850830639112
Geotermica_SING,2027,174.14963597362367
Geotermica_VI,2027,174.14963597362367
Geotermica_VII,2027,174.14963597362367
Geotermica_VIII,2027,174.14963597362367
Solar_CSP_SING,2027,30.0
Solar_CSP_II-III,2027,30.0
Eolica_SING,2027,30.37355165430737
Eolica_II-III,2027,30.37355165430737
Eolica_IV,2027,30.37355165430737
Eolica_V,2027,30.37355165430737
Eolica_VI,2027,30.37355165430737
Eolica_VIII,2027,30.37355165430737
Eolica_X-XIV,2027,30.37355165430737
Hidro_Pasada_XIII,2027,56.39663730624636
Hidro_Pasada_VI,2027,56.39663730624636
Hidro_Pasada_VII,2027,56.39663730624636
Hidro_Pasada_VIII,2027,56.39663730624636
Hidro_Pasada_X-XIV,2027,56.39663730624636
Solar_FV_SING,2027,17.44210898628576
Solar_FV_II-III,2027,17.44210898628576
Solar_FV_IV,2027,17.44210898628576
Solar_FV_V,2027,17.44210898628576
Solar_FV_XIII,2027,17.44210898628576
Solar_FV_VI,2027,17.44210898628576
Carbon_SING,2028,65.75424117562464
Carbon_II-III,2028,65.75424117562464
GNL_CC_SING,2028,33.63217502779748
GNL_CC_II-III,2028,33.63217502779748
GNL_CC_VIII,2028,33.63217502779748
GNL_CA_SING,2028,33.63217502779748
GNL_CA_II-III,2028,33.63217502779748
GNL_CA_VIII,2028,33.63217502779748
Diesel_SING,2028,22.5
Diesel_IV,2028,22.5
Diesel_X-XIV,2028,22.5
Biomasa_VII,2028,123.90846043366476
Biomasa_VIII,2028,123.90846043366476
Biomasa_X-XIV,2028,123.90846043366476
Geotermica_SING,2028,171.05256715902573
Geotermica_VI,2028,171.05256715902573
Geotermica_VII,2028,171.05256715902573
Geotermica_VIII,2028,171.05256715902573
Solar_CSP_SING,2028,30.0
Solar_CSP_II-III,2028,30.0
Eolica_SING,2028,29.945940096962616
Eolica_II-III,2028,29.945940096962616
Eolica_IV,2028,29.945940096962616
Eolica_V,2028,29.945940096962616
Eolica_VI,2028,29.945940096962616
Eolica_VIII,2028,29.945940096962616
Eolica_X-XIV,2028,29.945940096962616
Hidro_Pasada_XIII,2028,56.5510275761665
