Proceso,Hidrologia,Etapa,Factor_Planta
ALFALFAL,8,4,0.33036829
ALFALFAL,8,5,0.280294793
ALFALFAL,8,6,0.260299625
ALFALFAL,8,7,0.260360034
ALFALFAL,8,8,0.267004953
ALFALFAL,8,9,0.323735955
ALFALFAL,8,10,0.500634288
ALFALFAL,8,11,0.729478777
ALFALFAL,8,12,0.872825299
ALFALFAL,9,1,0.999909387
ALFALFAL,9,2,1.00003344
ALFALFAL,9,3,0.573954935
ALFALFAL,9,4,0.390293383
ALFALFAL,9,5,0.250241633
ALFALFAL,9,6,0.150671036
ALFALFAL,9,7,0.268213121
ALFALFAL,9,8,0.182055697
ALFALFAL,9,9,0.433832709
ALFALFAL,9,10,0.453968829
ALFALFAL,9,11,0.467306492
ALFALFAL,9,12,0.496783255
ALFALFAL,10,1,0.673100157
ALFALFAL,10,2,0.800478197
ALFALFAL,10,3,0.940709194
ALFALFAL,10,4,0.633426966
ALFALFAL,10,5,0.605367283
ALFALFAL,10,6,0.421660424
ALFALFAL,10,7,0.300833635
ALFALFAL,10,8,0.333680681
ALFALFAL,10,9,0.347066167
ALFALFAL,10,10,0.40050743
ALFALFAL,10,11,0.682974407
ALFALFAL,10,12,0.771792316
ALFALFAL,11,1,0.999909387
ALFALFAL,11,2,1.00003344
ALFALFAL,11,3,0.860894648
ALFALFAL,11,4,0.543851436
ALFALFAL,11,5,0.39710946
ALFALFAL,11,6,0.338327091
ALFALFAL,11,7,0.320315332
ALFALFAL,11,8,0.320315332
ALFALFAL,11,9,0.350343321
ALFALFAL,11,10,0.533934397
ALFALFAL,11,11,0.654182272
ALFALFAL,11,12,0.784629093
ALFALFAL,12,1,0.999909387
ALFALFAL,12,2,1.00003344
ALFALFAL,12,3,0.847604809
ALFALFAL,12,4,0.527309613
ALFALFAL,12,5,0.367131811
ALFALFAL,12,6,0.154806492
ALFALFAL,12,7,0.135239217
ALFALFAL,12,8,0.290413193
ALFALFAL,12,9,0.307038077
ALFALFAL,12,10,0.40050743
ALFALFAL,12,11,0.440621099
ALFALFAL,12,12,0.550697717
ALFALFAL,13,1,0.999909387
ALFALFAL,13,2,0.757590958
ALFALFAL,13,3,0.577352906
ALFALFAL,13,4,0.430555556
ALFALFAL,13,5,0.333680681
ALFALFAL,13,6,0.2943196
ALFALFAL,13,7,0.280294793
ALFALFAL,13,8,0.263531473
ALFALFAL,13,9,0.260299625
