Proceso,Agno,Pmax
TRANS_MINIBUS_ELECTRICO_NUEVO,2039,35057.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2040,39054.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2041,43853.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2042,48694.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2043,54350.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2044,60053.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2045,66585.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2046,73168.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2047,79011.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2048,79342.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2049,79670.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2050,79994.0
TRANS_VEH_GASOLINA_2018,2017,0.0
TRANS_VEH_GASOLINA_2018,2018,284348.0
TRANS_VEH_GASOLINA_2018,2019,284348.0
TRANS_VEH_GASOLINA_2018,2020,284348.0
TRANS_VEH_GASOLINA_2018,2021,284348.0
TRANS_VEH_GASOLINA_2018,2022,284348.0
TRANS_VEH_GASOLINA_2018,2023,284348.0
TRANS_VEH_GASOLINA_2018,2024,284348.0
TRANS_VEH_GASOLINA_2018,2025,284348.0
TRANS_VEH_GASOLINA_2018,2026,284348.0
TRANS_VEH_GASOLINA_2018,2027,284348.0
TRANS_VEH_GASOLINA_2018,2028,284348.0
TRANS_VEH_GASOLINA_2018,2029,284348.0
TRANS_VEH_GASOLINA_2018,2030,284348.0
TRANS_VEH_GASOLINA_2018,2031,284348.0
TRANS_VEH_GASOLINA_2018,2032,284348.0
TRANS_VEH_GASOLINA_2018,2033,284348.0
TRANS_VEH_GASOLINA_2018,2034,284348.0
TRANS_VEH_GASOLINA_2018,2035,284348.0
TRANS_VEH_GASOLINA_2018,2036,284348.0
TRANS_VEH_GASOLINA_2018,2037,284348.0
TRANS_VEH_GASOLINA_2018,2038,284348.0
TRANS_VEH_GASOLINA_2018,2039,284348.0
TRANS_VEH_GASOLINA_2018,2040,284348.0
TRANS_VEH_GASOLINA_2018,2041,284348.0
TRANS_VEH_GASOLINA_2018,2042,284348.0
TRANS_VEH_GASOLINA_2018,2043,284348.0
TRANS_VEH_GASOLINA_2018,2044,284348.0
TRANS_VEH_GASOLINA_2018,2045,284348.0
TRANS_VEH_GASOLINA_2018,2046,284348.0
TRANS_VEH_GASOLINA_2018,2047,284348.0
TRANS_VEH_GASOLINA_2018,2048,284348.0
