Curva,Etapa,Bloque,Distribucion
curva_industrial,1,5,0.127659574
curva_industrial,2,1,0.225531915
curva_industrial,2,2,0.106382979
curva_industrial,2,3,0.434042553
curva_industrial,2,4,0.106382979
curva_industrial,2,5,0.127659574
curva_industrial,3,1,0.225531915
curva_industrial,3,2,0.106382979
curva_industrial,3,3,0.434042553
curva_industrial,3,4,0.106382979
curva_industrial,3,5,0.127659574
curva_industrial,4,1,0.225531915
curva_industrial,4,2,0.106382979
curva_industrial,4,3,0.434042553
curva_industrial,4,4,0.106382979
curva_industrial,4,5,0.127659574
curva_industrial,5,1,0.225531915
curva_industrial,5,2,0.106382979
curva_industrial,5,3,0.434042553
curva_industrial,5,4,0.106382979
curva_industrial,5,5,0.127659574
curva_industrial,6,1,0.225531915
curva_industrial,6,2,0.106382979
curva_industrial,6,3,0.434042553
curva_industrial,6,4,0.106382979
curva_industrial,6,5,0.127659574
curva_industrial,7,1,0.225531915
curva_industrial,7,2,0.106382979
curva_industrial,7,3,0.434042553
curva_industrial,7,4,0.106382979
curva_industrial,7,5,0.127659574
curva_industrial,8,1,0.225531915
curva_industrial,8,2,0.106382979
curva_industrial,8,3,0.434042553
curva_industrial,8,4,0.106382979
curva_industrial,8,5,0.127659574
curva_industrial,9,1,0.225531915
curva_industrial,9,2,0.106382979
curva_industrial,9,3,0.434042553
curva_industrial,9,4,0.106382979
curva_industrial,9,5,0.127659574
curva_industrial,10,1,0.225531915
curva_industrial,10,2,0.106382979
curva_industrial,10,3,0.434042553
curva_industrial,10,4,0.106382979
curva_industrial,10,5,0.127659574
curva_industrial,11,1,0.225531915
curva_industrial,11,2,0.106382979
curva_industrial,11,3,0.434042553
curva_industrial,11,4,0.106382979
curva_industrial,11,5,0.127659574
curva_industrial,12,1,0.225531915
curva_industrial,12,2,0.106382979
curva_industrial,12,3,0.434042553
curva_industrial,12,4,0.106382979
curva_industrial,12,5,0.127659574
