Proceso,Agno,Etapa,Factor_Planta
CIPRESILLOS,2017,6,0.856481481
CIPRESILLOS,2017,7,0.776583035
CIPRESILLOS,2017,8,0.640681004
CIPRESILLOS,2017,9,0.884259259
CIPRESILLOS,2017,10,0.872162485
CIPRESILLOS,2017,11,0.952160494
CIPRESILLOS,2017,12,0.588410992
COLBUN,2017,1,0.381373379
COLBUN,2017,2,0.312695374
COLBUN,2017,3,0.411519729
COLBUN,2017,4,0.517323122
COLBUN,2017,5,0.548457683
COLBUN,2017,6,0.839107707
COLBUN,2017,7,1.000005882
COLBUN,2017,8,0.857950401
COLBUN,2017,9,0.712831267
COLBUN,2017,10,1.000005882
COLBUN,2017,11,1
COLBUN,2017,12,0.942624879
COLLIL,2017,1,0.353302611
COLLIL,2017,2,0.197704082
COLLIL,2017,3,0.291858679
COLLIL,2017,4,0.476190476
COLLIL,2017,5,0.998463902
COLLIL,2017,6,0.811507937
COLLIL,2017,7,0.998463902
COLLIL,2017,8,0.998463902
COLLIL,2017,9,1
COLLIL,2017,10,0.894777266
COLLIL,2017,11,0.511904762
COLLIL,2017,12,0.998463902
CONTRA,2017,1,0.936787227
CONTRA,2017,2,0.946969697
CONTRA,2017,3,0.936787227
CONTRA,2017,4,0.925925926
CONTRA,2017,5,0.570218312
CONTRA,2017,6,0.294612795
CONTRA,2017,7,0.651678071
CONTRA,2017,8,0.855327468
CONTRA,2017,9,0.925925926
CONTRA,2017,10,0.936787227
CONTRA,2017,11,0.925925926
CONTRA,2017,12,0.936787227
CONVENTO_VIEJO,2017,1,0.633400538
CONVENTO_VIEJO,2017,2,0.318080357
CONVENTO_VIEJO,2017,3,0.316700269
CONVENTO_VIEJO,2017,4,0.317708333
CONVENTO_VIEJO,2017,5,0.999663978
CONVENTO_VIEJO,2017,6,1
CONVENTO_VIEJO,2017,7,0.999663978
CONVENTO_VIEJO,2017,8,0.999663978
CONVENTO_VIEJO,2017,9,0.317708333
CONVENTO_VIEJO,2017,10,0.633400538
CONVENTO_VIEJO,2017,11,0.633680556
CONVENTO_VIEJO,2017,12,0.633400538
COYA,2017,1,0.983422939
COYA,2017,2,0.999503968
COYA,2017,3,1.001344086
COYA,2017,4,1
COYA,2017,5,1.001344086
COYA,2017,6,1
COYA,2017,7,0.983422939
COYA,2017,8,1.001344086
COYA,2017,9,1
COYA,2017,10,1.001344086
COYA,2017,11,0.53587963
COYA,2017,12,1.001344086
CUMBRES,2017,1,0.990474129
CUMBRES,2017,2,0.990731863
CUMBRES,2017,3,0.990474129
CUMBRES,2017,4,0.990865026
CUMBRES,2017,5,0.555675832
CUMBRES,2017,6,0.307606264
CUMBRES,2017,7,0.665728513
CUMBRES,2017,8,0.83531789
CUMBRES,2017,9,0.990865026
CUMBRES,2017,10,0.990474129
CUMBRES,2017,11,0.990865026
CUMBRES,2017,12,0.990474129
CUMPEO,2017,1,0.518033154
CUMPEO,2017,2,0.353939319
CUMPEO,2017,3,0.298685783
CUMPEO,2017,4,0.347222222
CUMPEO,2017,5,0.919392174
CUMPEO,2017,6,0.925925926
CUMPEO,2017,7,0.893723865
CUMPEO,2017,8,0.522700119
CUMPEO,2017,9,0.737847222
CUMPEO,2017,10,0.826052867
CUMPEO,2017,11,0.925925926
CUMPEO,2017,12,0.919392174
CURILEUFU,2017,1,0.91227558
CURILEUFU,2017,2,0.942684766
CURILEUFU,2017,3,0.91227558
CURILEUFU,2017,4,0.879839115
CURILEUFU,2017,5,0.486546976
CURILEUFU,2017,6,0.377073906
CURILEUFU,2017,7,0.60818372
CURILEUFU,2017,8,0.851457208
CURILEUFU,2017,9,0.879839115
CURILEUFU,2017,10,0.91227558
CURILEUFU,2017,11,0.879839115
CURILEUFU,2017,12,0.91227558
CURILLINQUE,2017,1,0.768600915
CURILLINQUE,2017,2,0.98915572
CURILLINQUE,2017,3,0.934217031
CURILLINQUE,2017,4,0.388729246
CURILLINQUE,2017,5,0.988907428
CURILLINQUE,2017,6,0.988825032
CURILLINQUE,2017,7,0.709739216
CURILLINQUE,2017,8,0.595569151
CURILLINQUE,2017,9,0.713920817
CURILLINQUE,2017,10,0.962798171
CURILLINQUE,2017,11,0.988825032
CURILLINQUE,2017,12,0.988907428
DON_WALTERIO,2017,1,0.355385457
DON_WALTERIO,2017,2,0.242130751
DON_WALTERIO,2017,3,0.232367414
DON_WALTERIO,2017,4,0.437853107
DON_WALTERIO,2017,5,0.997813013
DON_WALTERIO,2017,6,1.002824859
DON_WALTERIO,2017,7,0.997813013
DON_WALTERIO,2017,8,0.920357208
DON_WALTERIO,2017,9,1.002824859
DON_WALTERIO,2017,10,0.847457627
DON_WALTERIO,2017,11,0.484934087
DON_WALTERIO,2017,12,0.997813013
DONA_HILDA,2017,1,0.448028674
DONA_HILDA,2017,2,0.496031746
DONA_HILDA,2017,3,0.448028674
DONA_HILDA,2017,4,0.462962963
DONA_HILDA,2017,5,0.448028674
DONA_HILDA,2017,6,0.740740741
DONA_HILDA,2017,7,0.448028674
DONA_HILDA,2017,8,0.627240143
DONA_HILDA,2017,9,0.648148148
DONA_HILDA,2017,10,0.627240143
DONA_HILDA,2017,11,0.462962963
DONA_HILDA,2017,12,0.448028674
DONGO,2017,1,0.376344086
DONGO,2017,2,0.3125
DONGO,2017,3,0.300179211
DONGO,2017,4,0.541666667
DONGO,2017,5,0.999103943
DONGO,2017,6,0.909722222
DONGO,2017,7,0.999103943
DONGO,2017,8,0.999103943
DONGO,2017,9,1
DONGO,2017,10,0.999103943
DONGO,2017,11,0.578703704
DONGO,2017,12,0.999103943
DONGUIL,2017,1,0.967741935
DONGUIL,2017,2,1.011904762
DONGUIL,2017,3,0.967741935
DONGUIL,2017,4,1
DONGUIL,2017,5,0.967741935
DONGUIL,2017,6,1
DONGUIL,2017,7,0.967741935
DONGUIL,2017,8,0.967741935
DONGUIL,2017,9,1
DONGUIL,2017,10,0.967741935
DONGUIL,2017,11,1
DONGUIL,2017,12,0.967741935
DOS_VALLES,2017,1,0.974462366
DOS_VALLES,2017,2,1.004464286
DOS_VALLES,2017,3,0.974462366
DOS_VALLES,2017,4,1.006944444
DOS_VALLES,2017,5,0.974462366
DOS_VALLES,2017,6,0.729166667
DOS_VALLES,2017,7,0.974462366
DOS_VALLES,2017,8,0.940860215
DOS_VALLES,2017,9,1.006944444
DOS_VALLES,2017,10,0.974462366
DOS_VALLES,2017,11,1.006944444
DOS_VALLES,2017,12,0.974462366
DOSAL,2017,1,1.045400239
DOSAL,2017,2,0.992063492
DOSAL,2017,3,0.696933493
DOSAL,2017,4,0.514403292
DOSAL,2017,5,0.348466746
DOSAL,2017,6,0.308641975
DOSAL,2017,7,0.298685783
DOSAL,2017,8,0.049780964
DOSAL,2017,9,0.102880658
DOSAL,2017,10,0.298685783
DOSAL,2017,11,0.874485597
DOSAL,2017,12,1.045400239
EL_AGRIO,2017,1,0.310585615
EL_AGRIO,2017,2,0.278647315
EL_AGRIO,2017,3,0.299875766
EL_AGRIO,2017,4,0.298804781
EL_AGRIO,2017,5,0.696140171
EL_AGRIO,2017,6,0.647410359
EL_AGRIO,2017,7,0.867497751
EL_AGRIO,2017,8,0.52478259
EL_AGRIO,2017,9,0.514608234
EL_AGRIO,2017,10,0.332005312
EL_AGRIO,2017,11,0.26560425
EL_AGRIO,2017,12,0.626526153
EL_ARRAYAN,2017,1,0.268817204
EL_ARRAYAN,2017,2,0.198412698
EL_ARRAYAN,2017,3,0.17921147
EL_ARRAYAN,2017,4,0.555555556
EL_ARRAYAN,2017,5,0.896057348
EL_ARRAYAN,2017,6,0.925925926
EL_ARRAYAN,2017,7,0.896057348
EL_ARRAYAN,2017,8,0.896057348
EL_ARRAYAN,2017,9,0.925925926
EL_ARRAYAN,2017,10,0.896057348
EL_ARRAYAN,2017,11,0.555555556
EL_ARRAYAN,2017,12,0.896057348
EL_BRINCO,2017,1,0.940860215
EL_BRINCO,2017,2,1.041666667
EL_BRINCO,2017,3,0.940860215
EL_BRINCO,2017,4,0.972222222
EL_BRINCO,2017,5,0.940860215
EL_BRINCO,2017,6,0.208333333
EL_BRINCO,2017,7,0.940860215
EL_BRINCO,2017,8,0.940860215
EL_BRINCO,2017,9,0.972222222
EL_BRINCO,2017,10,0.940860215
EL_BRINCO,2017,11,0.972222222
EL_BRINCO,2017,12,0.940860215
EL_CANELO,2017,1,0.318336163
