Demanda,Etapa,Participacion
coccion_electricidad_IV,2,0.08333333333333333
coccion_gas_licuado_IV,2,0.08333333333333333
refrigeracion_IV,2,0.08333333333333333
iluminacion_IV,2,0.08333333333333333
otros_electricos_IV,2,0.08333333333333333
enfriamiento_IV,2,0.08333333333333333
calefaccion_biomasa_IV,3,0.0
calefaccion_electricidad_IV,3,0.0
coccion_electricidad_IV,3,0.08333333333333333
coccion_gas_licuado_IV,3,0.08333333333333333
refrigeracion_IV,3,0.08333333333333333
iluminacion_IV,3,0.08333333333333333
otros_electricos_IV,3,0.08333333333333333
enfriamiento_IV,3,0.08333333333333333
calefaccion_biomasa_IV,4,0.05
calefaccion_electricidad_IV,4,0.05
coccion_electricidad_IV,4,0.08333333333333333
coccion_gas_licuado_IV,4,0.08333333333333333
refrigeracion_IV,4,0.08333333333333333
iluminacion_IV,4,0.08333333333333333
otros_electricos_IV,4,0.08333333333333333
enfriamiento_IV,4,0.08333333333333333
calefaccion_biomasa_IV,5,0.15
calefaccion_electricidad_IV,5,0.15
coccion_electricidad_IV,5,0.08333333333333333
coccion_gas_licuado_IV,5,0.08333333333333333
refrigeracion_IV,5,0.08333333333333333
iluminacion_IV,5,0.08333333333333333
otros_electricos_IV,5,0.08333333333333333
enfriamiento_IV,5,0.08333333333333333
calefaccion_biomasa_IV,6,0.25
calefaccion_electricidad_IV,6,0.25
coccion_electricidad_IV,6,0.08333333333333333
coccion_gas_licuado_IV,6,0.08333333333333333
refrigeracion_IV,6,0.08333333333333333
iluminacion_IV,6,0.08333333333333333
otros_electricos_IV,6,0.08333333333333333
enfriamiento_IV,6,0.08333333333333333
calefaccion_biomasa_IV,7,0.25
calefaccion_electricidad_IV,7,0.25
coccion_electricidad_IV,7,0.08333333333333333
coccion_gas_licuado_IV,7,0.08333333333333333
refrigeracion_IV,7,0.08333333333333333
iluminacion_IV,7,0.08333333333333333
otros_electricos_IV,7,0.08333333333333333
enfriamiento_IV,7,0.08333333333333333
calefaccion_biomasa_IV,8,0.15
calefaccion_electricidad_IV,8,0.15
coccion_electricidad_IV,8,0.08333333333333333
coccion_gas_licuado_IV,8,0.08333333333333333
refrigeracion_IV,8,0.08333333333333333
iluminacion_IV,8,0.08333333333333333
otros_electricos_IV,8,0.08333333333333333
enfriamiento_IV,8,0.08333333333333333
calefaccion_biomasa_IV,9,0.1
calefaccion_electricidad_IV,9,0.1
coccion_electricidad_IV,9,0.08333333333333333
coccion_gas_licuado_IV,9,0.08333333333333333
refrigeracion_IV,9,0.08333333333333333
iluminacion_IV,9,0.08333333333333333
otros_electricos_IV,9,0.08333333333333333
enfriamiento_IV,9,0.08333333333333333
calefaccion_biomasa_IV,10,0.05
calefaccion_electricidad_IV,10,0.05
coccion_electricidad_IV,10,0.08333333333333333
coccion_gas_licuado_IV,10,0.08333333333333333
refrigeracion_IV,10,0.08333333333333333
iluminacion_IV,10,0.08333333333333333
otros_electricos_IV,10,0.08333333333333333
enfriamiento_IV,10,0.08333333333333333
calefaccion_biomasa_IV,11,0.0
calefaccion_electricidad_IV,11,0.0
coccion_electricidad_IV,11,0.08333333333333333
coccion_gas_licuado_IV,11,0.08333333333333333
refrigeracion_IV,11,0.08333333333333333
iluminacion_IV,11,0.08333333333333333
otros_electricos_IV,11,0.08333333333333333
enfriamiento_IV,11,0.08333333333333333
calefaccion_biomasa_IV,12,0.0
calefaccion_electricidad_IV,12,0.0
coccion_electricidad_IV,12,0.08333333333333333
coccion_gas_licuado_IV,12,0.08333333333333333
refrigeracion_IV,12,0.08333333333333333
iluminacion_IV,12,0.08333333333333333
otros_electricos_IV,12,0.08333333333333333
enfriamiento_IV,12,0.08333333333333333
calefaccion_biomasa_V,1,0.0
calefaccion_electricidad_V,1,0.0
coccion_electricidad_V,1,0.08333333333333333
coccion_gas_licuado_V,1,0.08333333333333333
refrigeracion_V,1,0.08333333333333333
iluminacion_V,1,0.08333333333333333
otros_electricos_V,1,0.08333333333333333
enfriamiento_V,1,0.08333333333333333
calefaccion_biomasa_V,2,0.0
calefaccion_electricidad_V,2,0.0
coccion_electricidad_V,2,0.08333333333333333
coccion_gas_licuado_V,2,0.08333333333333333
refrigeracion_V,2,0.08333333333333333
iluminacion_V,2,0.08333333333333333
otros_electricos_V,2,0.08333333333333333
enfriamiento_V,2,0.08333333333333333
calefaccion_biomasa_V,3,0.0
calefaccion_electricidad_V,3,0.0
coccion_electricidad_V,3,0.08333333333333333
coccion_gas_licuado_V,3,0.08333333333333333
refrigeracion_V,3,0.08333333333333333
iluminacion_V,3,0.08333333333333333
otros_electricos_V,3,0.08333333333333333
enfriamiento_V,3,0.08333333333333333
calefaccion_biomasa_V,4,0.05
calefaccion_electricidad_V,4,0.05
coccion_electricidad_V,4,0.08333333333333333
coccion_gas_licuado_V,4,0.08333333333333333
refrigeracion_V,4,0.08333333333333333
iluminacion_V,4,0.08333333333333333
otros_electricos_V,4,0.08333333333333333
enfriamiento_V,4,0.08333333333333333
calefaccion_biomasa_V,5,0.15
calefaccion_electricidad_V,5,0.15
coccion_electricidad_V,5,0.08333333333333333
coccion_gas_licuado_V,5,0.08333333333333333
refrigeracion_V,5,0.08333333333333333
iluminacion_V,5,0.08333333333333333
otros_electricos_V,5,0.08333333333333333
enfriamiento_V,5,0.08333333333333333
calefaccion_biomasa_V,6,0.25
calefaccion_electricidad_V,6,0.25
coccion_electricidad_V,6,0.08333333333333333
coccion_gas_licuado_V,6,0.08333333333333333
refrigeracion_V,6,0.08333333333333333
iluminacion_V,6,0.08333333333333333
otros_electricos_V,6,0.08333333333333333
enfriamiento_V,6,0.08333333333333333
calefaccion_biomasa_V,7,0.25
calefaccion_electricidad_V,7,0.25
