Proceso,Gas,Factor_emision
GNL_CC_SING,N2O,0.001
GNL_CC_II-III,CO2,438.508
GNL_CC_II-III,CH4,0.008
GNL_CC_II-III,N2O,0.001
GNL_CC_VIII,CO2,438.508
GNL_CC_VIII,CH4,0.008
GNL_CC_VIII,N2O,0.001
GNL_CA_SING,CO2,438.508
GNL_CA_SING,CH4,0.008
GNL_CA_SING,N2O,0.001
GNL_CA_II-III,CO2,438.508
GNL_CA_II-III,CH4,0.008
GNL_CA_II-III,N2O,0.001
GNL_CA_VIII,CO2,438.508
GNL_CA_VIII,CH4,0.008
GNL_CA_VIII,N2O,0.001
