Sector,Energetico,GEI,FE
petroquimica,gas_refineria,CH4,1.0
petroquimica,coque_petroleo,CH4,1.0
petroquimica,derivados_industria_petroleo,CH4,0.0
petroquimica,electricidad,CH4,0.0
petroquimica,carbon,CH4,1.0
petroquimica,coque_mineral,CH4,1.0
petroquimica,alquitran,CH4,3.0
petroquimica,gas_corriente,CH4,0.0
petroquimica,gas_coque,CH4,0.0
petroquimica,gas_alto_horno,CH4,1.0
petroquimica,gas_natural,CH4,1.0
petroquimica,metano,CH4,1.0
petroquimica,biogas,CH4,1.0
petroquimica,biomasa,CH4,0.0
petroquimica,solar,CH4,0.0
petroquimica,diesel,N2O,0.6
petroquimica,petroleo_combustible,N2O,0.6
petroquimica,gasolina,N2O,0.6
petroquimica,kerenose,N2O,0.6
petroquimica,gas_licuado,N2O,0.1
petroquimica,gasolina_aviacion,N2O,0.6
petroquimica,kerosene_aviacion,N2O,0.6
petroquimica,nafta,N2O,0.6
petroquimica,gas_refineria,N2O,0.1
petroquimica,coque_petroleo,N2O,1.5
petroquimica,derivados_industria_petroleo,N2O,0.0
petroquimica,electricidad,N2O,0.0
petroquimica,carbon,N2O,1.5
petroquimica,coque_mineral,N2O,1.5
petroquimica,alquitran,N2O,0.6
petroquimica,gas_corriente,N2O,0.0
petroquimica,gas_coque,N2O,0.0
petroquimica,gas_alto_horno,N2O,0.1
petroquimica,gas_natural,N2O,0.1
petroquimica,metano,N2O,0.1
petroquimica,biogas,N2O,0.1
petroquimica,biomasa,N2O,0.0
petroquimica,solar,N2O,0.0
minas_varias,diesel,CO2,74100.0
minas_varias,petroleo_combustible,CO2,74100.0
minas_varias,gasolina,CO2,69300.0
minas_varias,kerenose,CO2,71900.0
minas_varias,gas_licuado,CO2,63100.0
minas_varias,gasolina_aviacion,CO2,70000.0
minas_varias,kerosene_aviacion,CO2,71500.0
minas_varias,nafta,CO2,73300.0
minas_varias,gas_refineria,CO2,57600.0
minas_varias,coque_petroleo,CO2,107000.0
minas_varias,derivados_industria_petroleo,CO2,0.0
minas_varias,electricidad,CO2,0.0
minas_varias,carbon,CO2,94600.0
minas_varias,coque_mineral,CO2,107000.0
minas_varias,alquitran,CO2,80700.0
minas_varias,gas_corriente,CO2,0.0
minas_varias,gas_coque,CO2,0.0
minas_varias,gas_alto_horno,CO2,260000.0
minas_varias,gas_natural,CO2,56100.0
minas_varias,metano,CO2,54600.0
minas_varias,biogas,CO2,54600.0
minas_varias,biomasa,CO2,0.0
minas_varias,solar,CO2,0.0
minas_varias,diesel,CH4,3.0
minas_varias,petroleo_combustible,CH4,3.0
minas_varias,gasolina,CH4,3.0
minas_varias,kerenose,CH4,3.0
minas_varias,gas_licuado,CH4,1.0
minas_varias,gasolina_aviacion,CH4,3.0
minas_varias,kerosene_aviacion,CH4,3.0
minas_varias,nafta,CH4,3.0
minas_varias,gas_refineria,CH4,1.0
minas_varias,coque_petroleo,CH4,1.0
minas_varias,derivados_industria_petroleo,CH4,0.0
minas_varias,electricidad,CH4,0.0
minas_varias,carbon,CH4,1.0
minas_varias,coque_mineral,CH4,1.0
minas_varias,alquitran,CH4,3.0
minas_varias,gas_corriente,CH4,0.0
minas_varias,gas_coque,CH4,0.0
minas_varias,gas_alto_horno,CH4,1.0
minas_varias,gas_natural,CH4,1.0
minas_varias,metano,CH4,1.0
