Proceso,ID,ID_Sector,ID_Producto,Tipo ,Capacidad_Instalada,Fplanta,Estado,Agno_ini,Agno_fin,Vutil,Zona,ID_Curva,ID_Tecnologia,ID_Ener,ID_Precio_energ,ID_Costo_inversion,ConEsp,Cvar_no,Fcal,Fprecio,ID_Barra,Es_ERNC,ID_Zona_ERNC,Pmin,Regula,ConPropio,Inercia,Reserva_Primaria,Reserva_Secundaria,Impuesto,SPT,ID_Seg_Tran
Hidro_Pasada_XIII,492,8,14,1,0.0,0,0,2020,2100,45,1,0,14,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.05,4,0,0,0,1,0
Hidro_Pasada_VI,493,8,14,1,0.0,0,0,2020,2100,45,1,0,14,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.05,4,0,0,0,1,0
Hidro_Pasada_VII,494,8,14,1,0.0,0,0,2020,2100,45,1,0,14,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.05,4,0,0,0,1,0
Hidro_Pasada_VIII,495,8,14,1,0.0,0,0,2020,2100,45,1,0,14,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.05,4,0,0,0,1,0
Hidro_Pasada_X-XIV,496,8,14,1,0.0,0,0,2020,2100,45,1,0,14,25,0,11,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.05,4,0,0,0,1,0
Solar_FV_SING,497,8,14,1,0.0,0,0,2020,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,20,0.0,1,0.0,0,0,0,0,1,0
Solar_FV_II-III,498,8,14,1,0.0,0,0,2020,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,25,0.0,1,0.0,0,0,0,0,1,0
Solar_FV_IV,499,8,14,1,0.0,0,0,2020,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
Solar_FV_V,500,8,14,1,0.0,0,0,2020,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
Solar_FV_XIII,501,8,14,1,0.0,0,0,2020,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
Solar_FV_VI,502,8,14,1,0.0,0,0,2020,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,33,0.0,1,0.0,0,0,0,0,1,0
ALMACENAMIENTO_XIII,503,8,14,1,1.0,0,0,2020,2100,25,1,0,1,0,0,1,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.0,0,0,0,0,1,0
ALMACENAMIENTO_SING,504,8,14,1,1.0,0,0,2020,2100,25,1,0,1,0,0,1,0.0,0.0,0.0,1.0,1,0,0,0.0,1,0.0,0,0,0,0,1,0
ALMACENAMIENTO_II-III,505,8,14,1,1.0,0,0,2020,2100,25,1,0,1,0,0,1,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.0,0,0,0,0,1,0
ALMACENAMIENTO_IV,506,8,14,1,1.0,0,0,2020,2100,25,1,0,1,0,0,1,0.0,0.0,0.0,1.0,2,0,0,0.0,1,0.0,0,0,0,0,1,0
EL_MAITEN_EO,507,8,14,1,9.0,0,1,2023,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,16,0.0,1,0.0,0,0,0,0,1,0
EL_ARREBOL_EO,508,8,14,1,9.0,0,1,2020,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,17,0.0,1,0.0,0,0,0,0,1,0
EL_NOGAL_EO,509,8,14,1,9.0,0,1,2020,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,16,0.0,1,0.0,0,0,0,0,1,0
CALAMA_EO,510,8,14,1,150.0,0,1,2021,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,1,1,1,0.0,1,0.0,0,0,0,0,1,0
LA_ESTRELLA_EO,511,8,14,1,50.0,0,1,2021,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,15,0.0,1,0.0,0,0,0,0,1,0
RENAICO_2_EO,512,8,14,1,144.0,0,1,2021,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,16,0.0,1,0.0,0,0,0,0,1,0
OCHS_EO,513,8,14,1,2.9,0,1,2021,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,5,0.0,1,0.0,0,0,0,0,1,0
EL_CRUCE_EO,514,8,14,1,2.9,0,1,2021,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,5,0.0,1,0.0,0,0,0,0,1,0
CAMPO_LINDO_EO,515,8,14,1,71.6,0,1,2022,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,16,0.0,1,0.0,0,0,0,0,1,0
LLANOS_DEL_VIENTO_F1_EO,516,8,14,1,156.1,0,1,2022,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,1,1,1,0.0,1,0.0,0,0,0,0,1,0
POZO_ALMONTE_3_FV,517,8,14,1,16.0,0,1,2014,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,30,0.0,1,0.0,0,0,0,0,1,0
POZO_ALMONTE_1_FV,518,8,14,1,9.0,0,1,2015,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,30,0.0,1,0.0,0,0,0,0,1,0
HORNITOS_FV,519,8,14,1,0.35,0,1,2013,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,26,0.0,1,0.0,0,0,0,0,1,0
POZO_ALMONTE_2_FV,520,8,14,1,7.516,0,1,2014,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,30,0.0,1,0.0,0,0,0,0,1,0
CASAS_BLANCAS_FV,521,8,14,1,2.0,0,1,2021,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
LUNA_DEL_NORTE_FV,522,8,14,1,2.96,0,1,2015,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
SOL_DEL_NORTE_FV,523,8,14,1,2.96,0,1,2015,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
EL_QUEMADO_FV,524,8,14,1,3.0,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
LA_FRONTERA_FV,525,8,14,1,4.8,0,1,2017,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,32,0.0,1,0.0,0,0,0,0,1,0
EL_SAUCE_FV,526,8,14,1,3.0,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
CUZCUZ_FV,527,8,14,1,3.0,0,1,2021,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
ANTAY_FV,528,8,14,1,9.0,0,1,2017,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,29,0.0,1,0.0,0,0,0,0,1,0
EL_ROBLE_FV,529,8,14,1,9.0,0,1,2017,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
HOMERO_FV,530,8,14,1,3.0,0,1,2017,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
EL_PILPEN_FV,531,8,14,1,3.0,0,1,2017,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
CHIMBARONGO_FV,532,8,14,1,3.0,0,1,2017,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
FRANCISCO_FV,533,8,14,1,3.0,0,1,2017,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,30,0.0,1,0.0,0,0,0,0,1,0
EL_CERNICALO_1_FV,534,8,14,1,1.5,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,32,0.0,1,0.0,0,0,0,0,1,0
EL_CERNICALO_2_FV,535,8,14,1,1.5,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,32,0.0,1,0.0,0,0,0,0,1,0
LOS_GORRIONES_FV,536,8,14,1,3.0,0,1,2018,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,32,0.0,1,0.0,0,0,0,0,1,0
LA_FORTUNA_1_FV,537,8,14,1,3.0,0,1,2021,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,2,1,31,0.0,1,0.0,0,0,0,0,1,0
