Escenario,agno,emission,CAPEX,OPEX
21,2033,21.41,1596.93,1329.69
21,2034,20.55,1619.25,1353.46
21,2035,19.99,1614.06,1337.21
21,2036,19.16,1977.33,1375.7
21,2037,18.28,1903.76,1357.43
21,2038,16.67,1956.22,1327.7
21,2039,15.57,1437.25,1139.19
21,2040,9.66,2732.17,1615.35
21,2041,5.11,1934.46,1301.73
21,2042,5.24,760.04,994.17
21,2043,5.31,787.25,1011.78
21,2044,5.42,599.62,980.13
21,2045,5.64,533.63,989.17
21,2046,5.67,563.9,1008.35
21,2047,5.72,472.42,983.59
21,2048,5.73,356.25,973.08
21,2049,5.99,216.51,977.08
21,2050,5.95,163.11,952.97
22,2017,34.87,0.0,822.27
22,2018,36.93,0.0,886.96
22,2019,36.28,0.0,848.67
22,2020,39.15,0.0,998.37
22,2021,32.66,0.0,831.51
22,2022,36.62,9.84,964.02
22,2023,36.37,1900.0,1615.14
22,2024,32.02,1414.85,1370.85
22,2025,30.61,1520.89,1429.15
22,2026,28.92,967.89,1261.15
22,2027,27.54,1505.14,1428.32
22,2028,26.84,1862.38,1483.27
22,2029,26.17,2374.48,1570.48
22,2030,24.86,2299.01,1491.25
22,2031,23.65,2091.38,1433.94
