GEI,agno,offset
offset_agricultura_organica   ,2030        ,        0.00
offset_agricultura_organica   ,2031        ,        0.00
offset_agricultura_organica   ,2032        ,        0.00
offset_agricultura_organica   ,2033        ,        0.00
offset_agricultura_organica   ,2034        ,        0.00
offset_agricultura_organica   ,2035        ,        0.00
offset_agricultura_organica   ,2036        ,        0.00
offset_agricultura_organica   ,2037        ,        0.00
offset_agricultura_organica   ,2038        ,        0.00
offset_agricultura_organica   ,2039        ,        0.00
offset_agricultura_organica   ,2040        ,        0.00
offset_agricultura_organica   ,2041        ,        0.00
offset_agricultura_organica   ,2042        ,        0.00
offset_agricultura_organica   ,2043        ,        0.00
offset_agricultura_organica   ,2044        ,        0.00
offset_agricultura_organica   ,2045        ,        0.00
offset_agricultura_organica   ,2046        ,        0.00
offset_agricultura_organica   ,2047        ,        0.00
offset_agricultura_organica   ,2048        ,        0.00
offset_agricultura_organica   ,2049        ,        0.00
offset_agricultura_organica   ,2050        ,        0.00
offset_secuestro_CO2          ,2017        ,        0.00
offset_secuestro_CO2          ,2018        ,        0.00
offset_secuestro_CO2          ,2019        ,        0.00
offset_secuestro_CO2          ,2020        ,        0.00
offset_secuestro_CO2          ,2021        ,        0.00
offset_secuestro_CO2          ,2022        ,        0.00
offset_secuestro_CO2          ,2023        ,        0.00
offset_secuestro_CO2          ,2024        ,        0.00
offset_secuestro_CO2          ,2025        ,        0.00
offset_secuestro_CO2          ,2026        ,        0.00
offset_secuestro_CO2          ,2027        ,        0.00
offset_secuestro_CO2          ,2028        ,        0.00
offset_secuestro_CO2          ,2029        ,        0.00
offset_secuestro_CO2          ,2030        ,        0.00
offset_secuestro_CO2          ,2031        ,        0.00
offset_secuestro_CO2          ,2032        ,        0.00
offset_secuestro_CO2          ,2033        ,        0.00
offset_secuestro_CO2          ,2034        ,        0.00
offset_secuestro_CO2          ,2035        ,        0.00
offset_secuestro_CO2          ,2036        ,        0.00
offset_secuestro_CO2          ,2037        ,        0.00
offset_secuestro_CO2          ,2038        ,        0.00
offset_secuestro_CO2          ,2039        ,        0.00
offset_secuestro_CO2          ,2040        ,        0.00
offset_secuestro_CO2          ,2041        ,        0.00
offset_secuestro_CO2          ,2042        ,        0.00
offset_secuestro_CO2          ,2043        ,        0.00
offset_secuestro_CO2          ,2044        ,        0.00
offset_secuestro_CO2          ,2045        ,        0.00
offset_secuestro_CO2          ,2046        ,        0.00
offset_secuestro_CO2          ,2047        ,        0.00
offset_secuestro_CO2          ,2048        ,        0.00
offset_secuestro_CO2          ,2049        ,        0.00
offset_secuestro_CO2          ,2050        ,        0.00
offset_biodigestores          ,2017        ,        0.00
offset_biodigestores          ,2018        ,        0.00
offset_biodigestores          ,2019        ,        0.00
offset_biodigestores          ,2020        ,        0.00
offset_biodigestores          ,2021        ,        0.00
offset_biodigestores          ,2022        ,        0.00
offset_biodigestores          ,2023        ,        0.00
offset_biodigestores          ,2024        ,        0.00
offset_biodigestores          ,2025        ,        0.00
offset_biodigestores          ,2026        ,        0.00
offset_biodigestores          ,2027        ,        0.00
offset_biodigestores          ,2028        ,        0.00
offset_biodigestores          ,2029        ,        0.00
offset_biodigestores          ,2030        ,        0.00
offset_biodigestores          ,2031        ,        0.00
offset_biodigestores          ,2032        ,        0.00
offset_biodigestores          ,2033        ,        0.00
offset_biodigestores          ,2034        ,        0.00
offset_biodigestores          ,2035        ,        0.00
offset_biodigestores          ,2036        ,        0.00
offset_biodigestores          ,2037        ,        0.00
