barra,agno,etapa,bloque,potencia,energia
SING        ,2021        ,4           ,1           ,     2173.80,   456498.79
SING        ,2021        ,4           ,2           ,     2077.50,   186974.78
SING        ,2021        ,4           ,3           ,     2085.62,   625686.00
SING        ,2021        ,4           ,4           ,     2070.29,   124217.66
SING        ,2021        ,4           ,5           ,     2120.92,   127255.07
SING        ,2021        ,5           ,1           ,     2181.62,   475593.70
SING        ,2021        ,5           ,2           ,     2204.33,   205002.35
SING        ,2021        ,5           ,3           ,     2123.71,   658349.67
SING        ,2021        ,5           ,4           ,     2100.02,   130201.24
SING        ,2021        ,5           ,5           ,     2181.61,   135260.04
SING        ,2021        ,6           ,1           ,     2174.89,   456727.59
SING        ,2021        ,6           ,2           ,     2189.16,   197024.64
SING        ,2021        ,6           ,3           ,     2135.11,   640534.35
SING        ,2021        ,6           ,4           ,     2091.05,   125462.90
SING        ,2021        ,6           ,5           ,     2132.81,   127968.54
SING        ,2021        ,7           ,1           ,     2135.61,   463427.76
SING        ,2021        ,7           ,2           ,     2161.29,   200999.99
SING        ,2021        ,7           ,3           ,     2103.76,   652164.87
SING        ,2021        ,7           ,4           ,     2036.59,   126268.53
SING        ,2021        ,7           ,5           ,     2048.64,   127015.71
SING        ,2021        ,8           ,1           ,     2155.13,   465507.66
SING        ,2021        ,8           ,2           ,     2184.72,   203179.31
SING        ,2021        ,8           ,3           ,     2131.75,   660842.62
SING        ,2021        ,8           ,4           ,     2057.47,   127563.19
SING        ,2021        ,8           ,5           ,     2094.52,   129860.00
SING        ,2021        ,9           ,1           ,     2152.79,   452085.92
SING        ,2021        ,9           ,2           ,     2178.88,   196099.16
SING        ,2021        ,9           ,3           ,     2133.66,   640097.74
SING        ,2021        ,9           ,4           ,     2076.22,   124573.21
SING        ,2021        ,9           ,5           ,     2108.85,   126531.07
SING        ,2021        ,10          ,1           ,     2156.49,   467957.73
SING        ,2021        ,10          ,2           ,     2184.83,   203189.10
SING        ,2021        ,10          ,3           ,     2128.33,   659782.19
SING        ,2021        ,10          ,4           ,     2177.22,   134987.71
SING        ,2021        ,10          ,5           ,     2197.06,   136217.54
SING        ,2021        ,11          ,1           ,     2226.69,   467604.57
SING        ,2021        ,11          ,2           ,     2158.33,   194250.09
SING        ,2021        ,11          ,3           ,     2166.90,   650070.37
SING        ,2021        ,11          ,4           ,     2265.22,   135913.40
SING        ,2021        ,11          ,5           ,     2283.93,   137035.95
SING        ,2021        ,12          ,1           ,     2242.46,   486613.31
SING        ,2021        ,12          ,2           ,     2247.83,   209048.32
SING        ,2021        ,12          ,3           ,     2150.41,   666627.16
SING        ,2021        ,12          ,4           ,     2183.50,   135376.75
SING        ,2021        ,12          ,5           ,     2203.52,   136618.51
SING        ,2022        ,1           ,1           ,     2125.22,   461173.43
SING        ,2022        ,1           ,2           ,     2108.37,   196078.35
SING        ,2022        ,1           ,3           ,     2062.75,   639453.09
SING        ,2022        ,1           ,4           ,     2120.18,   131450.89
SING        ,2022        ,1           ,5           ,     2199.90,   136394.03
SING        ,2022        ,2           ,1           ,     2046.66,   401145.35
SING        ,2022        ,2           ,2           ,     2016.05,   169348.59
SING        ,2022        ,2           ,3           ,     1989.61,   557089.95
SING        ,2022        ,2           ,4           ,     2088.18,   116937.88
SING        ,2022        ,2           ,5           ,     2104.79,   117868.32
SING        ,2022        ,3           ,1           ,     2063.99,   447886.07
SING        ,2022        ,3           ,2           ,     2059.48,   191531.53
SING        ,2022        ,3           ,3           ,     2021.51,   626667.54
SING        ,2022        ,3           ,4           ,     2041.15,   126551.03
SING        ,2022        ,3           ,5           ,     2099.48,   130167.66
SING        ,2022        ,4           ,1           ,     2259.63,   474522.49
SING        ,2022        ,4           ,2           ,     2159.28,   194335.25
SING        ,2022        ,4           ,3           ,     2167.78,   650334.84
SING        ,2022        ,4           ,4           ,     2151.79,   129107.47
SING        ,2022        ,4           ,5           ,     2204.07,   132243.98
SING        ,2022        ,5           ,1           ,     2267.86,   494393.73
SING        ,2022        ,5           ,2           ,     2291.06,   213068.22
SING        ,2022        ,5           ,3           ,     2207.40,   684293.62
SING        ,2022        ,5           ,4           ,     2182.68,   135325.95
SING        ,2022        ,5           ,5           ,     2267.08,   140559.22
SING        ,2022        ,6           ,1           ,     2260.94,   474797.75
SING        ,2022        ,6           ,2           ,     2275.52,   204796.75
SING        ,2022        ,6           ,3           ,     2219.17,   665749.77
SING        ,2022        ,6           ,4           ,     2173.47,   130408.24
SING        ,2022        ,6           ,5           ,     2216.35,   132980.88
SING        ,2022        ,7           ,1           ,     2219.83,   481704.02
SING        ,2022        ,7           ,2           ,     2246.16,   208893.05
SING        ,2022        ,7           ,3           ,     2186.45,   677797.99
SING        ,2022        ,7           ,4           ,     2116.54,   131225.20
SING        ,2022        ,7           ,5           ,     2128.68,   131978.16
SING        ,2022        ,8           ,1           ,     2240.28,   483900.95
SING        ,2022        ,8           ,2           ,     2270.55,   211161.40
SING        ,2022        ,8           ,3           ,     2215.49,   686803.26
SING        ,2022        ,8           ,4           ,     2138.48,   132585.63
SING        ,2022        ,8           ,5           ,     2176.69,   134954.87
SING        ,2022        ,9           ,1           ,     2237.91,   469962.03
SING        ,2022        ,9           ,2           ,     2264.58,   203811.83
SING        ,2022        ,9           ,3           ,     2217.62,   665285.77
SING        ,2022        ,9           ,4           ,     2158.01,   129480.36
SING        ,2022        ,9           ,5           ,     2191.60,   131495.83
SING        ,2022        ,10          ,1           ,     2241.84,   486479.57
SING        ,2022        ,10          ,2           ,     2271.13,   211215.05
SING        ,2022        ,10          ,3           ,     2211.92,   685695.35
SING        ,2022        ,10          ,4           ,     2262.26,   140260.10
SING        ,2022        ,10          ,5           ,     2282.66,   141524.77
SING        ,2022        ,11          ,1           ,     2314.78,   486103.73
SING        ,2022        ,11          ,2           ,     2243.63,   201926.70
SING        ,2022        ,11          ,3           ,     2251.93,   675580.30
SING        ,2022        ,11          ,4           ,     2353.68,   141220.90
SING        ,2022        ,11          ,5           ,     2372.96,   142377.84
SING        ,2022        ,12          ,1           ,     2331.29,   505889.91
SING        ,2022        ,12          ,2           ,     2336.81,   217323.18
SING        ,2022        ,12          ,3           ,     2234.98,   692845.10
SING        ,2022        ,12          ,4           ,     2268.90,   140672.07
SING        ,2022        ,12          ,5           ,     2289.36,   141940.02
SING        ,2023        ,1           ,1           ,     2201.16,   477651.38
SING        ,2023        ,1           ,2           ,     2183.61,   203075.78
SING        ,2023        ,1           ,3           ,     2136.05,   662174.13
SING        ,2023        ,1           ,4           ,     2195.26,   136106.13
SING        ,2023        ,1           ,5           ,     2277.61,   141211.85
SING        ,2023        ,2           ,1           ,     2119.57,   415435.12
SING        ,2023        ,2           ,2           ,     2087.80,   175374.87
SING        ,2023        ,2           ,3           ,     2060.06,   576817.04
SING        ,2023        ,2           ,4           ,     2161.82,   121061.84
SING        ,2023        ,2           ,5           ,     2178.99,   122023.62
SING        ,2023        ,3           ,1           ,     2138.87,   464135.71
SING        ,2023        ,3           ,2           ,     2134.10,   198471.58
SING        ,2023        ,3           ,3           ,     2094.46,   649283.26
SING        ,2023        ,3           ,4           ,     2114.45,   131096.02
SING        ,2023        ,3           ,5           ,     2174.62,   134826.55
SING        ,2023        ,4           ,1           ,     2340.81,   491569.86
SING        ,2023        ,4           ,2           ,     2236.64,   201297.51
SING        ,2023        ,4           ,3           ,     2245.54,   673662.78
SING        ,2023        ,4           ,4           ,     2228.91,   133734.85
SING        ,2023        ,4           ,5           ,     2282.75,   136964.76
SING        ,2023        ,5           ,1           ,     2349.39,   512166.05
SING        ,2023        ,5           ,2           ,     2373.05,   220693.90
